Rank,Title,Year,Domestic Gross,Studio(s),Director(s)
1,A Tribe Called Judah,2023,"₦1,404,187,806[1]",Funke Ayotunde Akindele Network,"Funke Akindele, Adeoluwa Owu"
2,Battle on Buka Street,2022,"₦668,423,056[2]",Funke Ayotunde Akindele Network / FilmOne,"Funke Akindele, Tobi Makinde"
3,Omo Ghetto: The Saga,2020,"₦636,129,120[3]",SceneOne Productions,Funke Akindele. JJC Skillz
4,The Wedding Party,2016,"₦452,288,605[4]",Ebonylife Films / FilmOne / Inkblot Production / Koga Studios,Kemi Adetiba
5,The Wedding Party 2,2017,"₦433,197,377[5]",Ebonylife Films / FilmOne / Inkblot Production / Koga Studios,Niyi Akinmolayan
6,Chief Daddy,2018,"₦387,540,749[6]",EbonyLife Films,Niyi Akinmolayan
7,Brotherhood,2022,"₦328,881,120[7]",Greoh Studios,Loukman Ali
8,King of Thieves,2022,"₦320,805,150[8]",Euphoria360 Media / Anthill Studios,"Tope Adebayo, Adebayo Tijani"
9,Malaika,2023,"₦302,086,925",Toyin Abraham Films Production,Steve Sodiya
10,Sugar Rush,2019,"₦287,053,270  [9]",GreoH Media / Jungle Filmworks / Empire Mates Entertainment,Kayode Kasum
11,Ijakumo,2022,"₦278,496,384[10]",Toyin Abraham Films Production / Filmone,"Adebayo Tijani, Steve Sodiya"
12,Christmas in Miami,2021,"₦265,583,000[11]",Corporate World Pictures,Robert Peters
13,King of Boys,2018,"₦244,775,758[2]",Kemi Adetiba Visuals,Kemi Adetiba
14,Merry Men: The Real Yoruba Demons,2018,"₦235,628,358[10]",Corporate World Entertainment / FilmOne / Gush Media,Toka Mcbaror[12]
15,Aki & Pawpaw,2021,"₦234,076,437[13]",Play network studios and Film One,Biodun Stephen
16,Merry Men 2: Another Mission,2019,"₦234,505,169[14]",Corporate World Entertainment / Gush Media / FilmOne,Moses Inwang
17,Ada Omo Daddy,2023,"₦218,754,222",Mercy AigbeProductions / Captain of the Sea Productions / Adezak Productions,"Adebayo Tijani, Akay Mason"
18,Your Excellency,2019,"₦186,340,948   [15]",EbonyLife Films,Funke Akindele
19,A Trip to Jamaica,2016,"₦180,264,964[4]",Corporate World Pictures,Robert Peters
20,Prophetess,2021,"₦178,744,340[16]",Anthill Studios,Niyi Akinmolayan
21,10 Days in Sun City,2017,"₦176,705,669[10]",Corporate World Pictures,Adze Ugha
22,Living in Bondage: Breaking Free,2019,"₦168,770,202[9]",Play Entertainment Network/Michelangelo Productions/Natives Filmworks,Ramsey Nouah
23,30 Days in Atlanta,2014,"₦163,351,300[4]",Corporate World Pictures,Robert Peters
24,The Ghost and the Tout Too,2021,"₦134,408,075[17]",Toyin Abraham Films Production,Ama Psalmist
25,Orisa,2023,"₦127,898,950",Odunlade Adekola Film Production / FilmOne Studio,Odunlade Adekola
26,Bling Lagosians,2019,"₦120,135,139[18]",Film One,Bolanle Austen-Peters
27,Merry Men 3,2023,"₦117,836,230",Corporate World Entertainment/ FilmOne,Moses Inwang
28,Fate of Alakada: The Party Planner,2020,"₦113,226,100[19]",FilmOne,Kayode Kasum
29,My Village People,2021,"₦100,958,400[20]",Kountry Koulture Productions,Niyi Akinmolayan
30,Up North,2018,"₦94,006,142[21]",Anakle Films / Inkblot Production,Tope Oshin
31,Isoken,2017,"₦93,697,726[10]",Tribe 85,Jadesola Osiberu
32,Quam's Money,2020,"₦92,100,070[22]","Inkblot Productions, House 21 and FilmOne",Kayode Kasum
33,Ayinla,2021,"₦91,470,900[23]",GreoH Media,Tunde Kelani
34,All's Fair In Love,2024,"₦90,000,000[24]",Covenant Entertainment / FilmOne Studio / Accelerate TV,Kayode Kasum
35,Okafor's Law,2017,"₦89,740,576[10]",Dioni Visions,Omoni Oboli
36,Breaded Life,2021,"₦88,860,057[25]",Shutter Speed Projects,Biodun Stephen
37,Passport,2022,"₦86,342,925[26]",VSL MEDIA,Dimeji Ajibola
38,Fifty,2015,"₦80,030,500[27]",EbonyLife Films,Biyi Bandele
39,Kesari,2023,"₦77,161,925",Itele 'D' Concept / FilmOne Studios,"Tope Adebayo, Ibrahim Yekini"
40,The Ghost and the Tout,2018,"₦77,233,105[10]",Toyin Abraham Productions,Charles Uwagbai
41,Alakada Reloaded,2017,"₦74,331,349[10]",Toyin Abraham Productions,Toyin Abraham
42,'76,2016,"₦72,400,000[4]",Adonis Productions / Princewill's Trust,Izu Ojukwu
43,Rattlesnake: The Ahanna Story,2020,"₦70,815,150[28]",Play Entertainment Network/FilmOne Entertainment,Ramsey Nouah
44,My Wife and I,2017,"₦67,882,573[29]",Inkblot Productions,Bunmi Ajakaiye
45,Superstar,2021,"₦67,132,500[11]",Inkblot and Filmone,Akhigbe Ilozobhie
46,Wives on Strike,2016,"₦66,753,162[14]",Dioni Visions,Omoni Oboli
47,Bad Comments,2021,"₦66,584,531[30]",Elrab Entertainment,Moses Inwang
48,Moms at War,2018,"₦65,278,052[4]",Dioni Visions,Omoni Oboli
49,Something Like Gold,2023,"₦60,163,273",Film Trybe / Greenwealth Production / FilmOne Studios,Kayode Kasum
50,Half of a Yellow Sun,2013,"₦60,000,000[31]",Shareman Media / Slate Films,Biyi Bandele
